CustomerID,Recency,Frequency,Monetary,avg_order_value,total_transactions,days_active,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,Segment
12346.0,326,1,77183.6,77183.6,1,1,1,1,5,115,7,Need Attention
12347.0,2,7,4310.0,23.681318681318682,182,366,5,5,5,555,15,Champions
12348.0,75,4,1797.24,57.97548387096774,31,283,2,4,4,244,10,New Customers
12349.0,19,1,1757.55,24.076027397260273,73,1,4,1,4,414,9,Potential Loyalists
12350.0,310,1,334.4,19.67058823529412,17,1,1,1,2,112,4,Cannot Lose Them
12352.0,36,8,2506.04,29.482823529411764,85,261,3,5,5,355,13,Champions
12353.0,204,1,89.0,22.25,4,1,1,1,1,111,3,Cannot Lose Them
12354.0,232,1,1079.4,18.610344827586207,58,1,1,1,4,114,6,At Risk
12355.0,214,1,459.4,35.338461538461544,13,1,1,1,2,112,4,Cannot Lose Them
12356.0,23,3,2811.43,47.65135593220339,59,303,4,3,5,435,12,Loyal Customers
12357.0,33,1,6207.67,47.38679389312977,131,1,4,1,5,415,10,Potential Loyalists
12358.0,2,2,1168.06,61.47684210526315,19,150,5,2,4,524,11,Loyal Customers
12359.0,58,4,6372.58,25.695887096774193,248,275,3,4,5,345,12,Loyal Customers
12360.0,52,3,2662.06,20.63612403100775,129,149,3,3,5,335,11,Loyal Customers
12361.0,287,1,189.9,18.990000000000002,10,1,1,1,1,111,3,Cannot Lose Them
12362.0,3,10,5226.23,19.64748120300752,266,293,5,5,5,555,15,Champions
12363.0,110,2,552.0,24.0,23,133,2,2,3,223,7,Need Attention
12364.0,8,4,1313.1,15.448235294117646,85,105,5,4,4,544,13,Champions
12365.0,291,2,641.38,29.153636363636362,22,1,1,2,3,123,6,At Risk
12367.0,4,1,168.9,15.354545454545455,11,1,5,1,1,511,7,Need Attention
12370.0,51,4,3545.69,21.231676646706585,167,310,3,4,5,345,12,Loyal Customers
12371.0,45,2,1887.96,29.96761904761905,63,15,3,2,4,324,9,Potential Loyalists
12372.0,72,3,1298.04,24.962307692307693,52,225,3,3,4,334,10,Potential Loyalists
12373.0,311,1,364.6,26.042857142857144,14,1,1,1,2,112,4,Cannot Lose Them
12374.0,25,1,742.93,22.513030303030305,33,1,4,1,3,413,8,Need Attention
12375.0,11,2,457.5,26.91176470588235,17,88,5,2,2,522,9,Potential Loyalists
12377.0,315,2,1628.12,21.144415584415587,77,40,1,2,4,124,7,Need Attention
12378.0,130,1,4008.62,18.30420091324201,219,1,2,1,5,215,8,Need Attention
12379.0,82,2,852.24,21.306,40,89,2,2,3,223,7,Need Attention
12380.0,22,4,2724.81,26.200096153846154,104,165,4,4,5,445,13,Champions
12381.0,5,5,1845.31,21.21045977011494,87,116,5,4,4,544,13,Champions
