ID,Age,Job,Credit amount,Duration,monthly_payment,credit_duration_ratio,age_credit_ratio,high_credit_flag,long_duration_flag,young_applicant_flag,no_checking_flag,no_savings_flag,financial_instability_flag,Risk_encoded,Sex_encoded,Saving_accounts_encoded,Checking_account_encoded,Housing_own,Housing_rent,Purpose_car,Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_radio/TV,Purpose_repairs,Purpose_vacation/others,age_group_early_career,age_group_mid_career,age_group_senior,duration_category_medium_term,duration_category_long_term,credit_category_medium,credit_category_high
0,67,2,1169,6,194.83333333333334,167.0,17.44776119402985,0,0,0,0,0,0,0,1,,1.0,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
1,22,2,5951,48,123.97916666666667,121.44897959183673,270.5,1,1,1,0,0,0,1,0,1.0,2.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True
2,49,1,2096,12,174.66666666666666,161.23076923076923,42.775510204081634,0,0,0,0,0,0,0,1,1.0,,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
3,45,2,7882,42,187.66666666666666,183.30232558139534,175.15555555555557,1,1,0,0,0,0,0,1,1.0,1.0,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True
4,53,2,4870,24,202.91666666666666,194.8,91.88679245283019,1,0,0,0,0,0,1,1,1.0,1.0,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False
5,35,1,9055,36,251.52777777777777,244.72972972972974,258.7142857142857,1,1,0,0,0,0,0,1,,,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True
6,53,2,2835,24,118.125,113.4,53.490566037735846,0,0,0,0,0,0,0,1,3.0,,True,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False
7,35,3,6948,36,193.0,187.78378378378378,198.5142857142857,1,1,0,0,0,0,0,1,1.0,2.0,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True
8,61,1,3059,12,254.91666666666666,235.30769230769232,50.14754098360656,0,0,0,0,0,0,0,1,4.0,,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
9,28,3,5234,30,174.46666666666667,168.83870967741936,186.92857142857142,1,1,1,0,0,0,1,1,1.0,2.0,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
10,25,2,1295,12,107.91666666666667,99.61538461538461,51.8,0,0,1,0,0,0,1,0,1.0,2.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
11,24,2,4308,48,89.75,87.91836734693878,179.5,1,1,1,0,0,0,1,0,1.0,1.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False
12,22,2,1567,12,130.58333333333334,120.53846153846153,71.22727272727273,0,0,1,0,0,0,0,0,1.0,2.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
13,60,1,1199,24,49.958333333333336,47.96,19.983333333333334,0,0,0,0,0,0,1,1,1.0,1.0,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False
14,28,2,1403,15,93.53333333333333,87.6875,50.107142857142854,0,0,1,0,0,0,0,0,1.0,1.0,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False
15,32,1,1282,24,53.416666666666664,51.28,40.0625,0,0,0,0,0,0,1,0,2.0,1.0,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False
16,53,2,2424,24,101.0,96.96,45.735849056603776,0,0,0,0,0,0,0,1,,,True,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False
17,25,2,8072,30,269.06666666666666,260.38709677419354,322.88,1,1,1,0,0,0,0,1,,1.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
18,44,3,12579,24,524.125,503.16,285.8863636363636,1,0,0,0,0,0,1,0,1.0,2.0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True
19,31,2,3430,24,142.91666666666666,137.2,110.64516129032258,0,0,0,0,0,0,0,1,3.0,,True,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False
20,48,2,2134,9,237.11111111111111,213.4,44.458333333333336,0,0,0,0,0,0,0,1,1.0,,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
21,44,2,2647,6,441.1666666666667,378.14285714285717,60.15909090909091,0,0,0,0,0,0,0,1,3.0,1.0,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False
22,48,1,2241,10,224.1,203.72727272727272,46.6875,0,0,0,0,0,0,0,1,1.0,1.0,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False
23,44,2,1804,12,150.33333333333334,138.76923076923077,41.0,0,0,0,0,0,0,0,1,2.0,2.0,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
24,26,2,2069,10,206.9,188.0909090909091,79.57692307692308,0,0,1,0,0,0,0,1,,,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
25,36,1,1374,6,229.0,196.28571428571428,38.166666666666664,0,0,0,0,0,0,0,1,1.0,1.0,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
26,39,1,426,6,71.0,60.857142857142854,10.923076923076923,0,0,0,0,0,0,0,1,1.0,,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
27,42,2,409,12,34.083333333333336,31.46153846153846,9.738095238095237,0,0,0,0,0,0,0,0,4.0,3.0,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False
28,34,2,2415,7,345.0,301.875,71.02941176470588,0,0,0,0,0,0,0,1,1.0,2.0,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False
29,63,2,6836,60,113.93333333333334,112.06557377049181,108.5079365079365,1,1,0,0,0,0,1,1,1.0,1.0,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True
30,36,2,1913,18,106.27777777777777,100.6842105263158,53.138888888888886,0,0,0,0,0,0,0,1,4.0,2.0,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
31,27,2,4020,24,167.5,160.8,148.88888888888889,1,0,1,0,0,0,0,1,1.0,1.0,True,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False
32,30,2,5866,18,325.8888888888889,308.7368421052632,195.53333333333333,1,0,0,0,0,0,0,1,2.0,2.0,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True
33,57,1,1264,12,105.33333333333333,97.23076923076923,22.17543859649123,0,0,0,0,0,0,0,1,,,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
34,33,3,1474,12,122.83333333333333,113.38461538461539,44.666666666666664,0,0,0,0,0,0,0,0,1.0,3.0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
35,25,1,4746,45,105.46666666666667,103.17391304347827,189.84,1,1,1,0,0,0,1,1,1.0,2.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False
36,31,2,6110,48,127.29166666666667,124.6938775510204,197.09677419354838,1,1,0,0,0,0,0,1,1.0,,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True
37,37,2,2100,18,116.66666666666667,110.52631578947368,56.75675675675676,0,0,0,0,0,0,1,1,1.0,3.0,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False
38,37,2,1225,10,122.5,111.36363636363636,33.108108108108105,0,0,0,0,0,0,0,1,1.0,3.0,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
39,24,2,458,9,50.888888888888886,45.8,19.083333333333332,0,0,1,0,0,0,0,1,1.0,2.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
40,30,3,2333,30,77.76666666666667,75.25806451612904,77.76666666666667,0,1,0,0,0,0,0,1,3.0,,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False
41,26,2,1158,12,96.5,89.07692307692308,44.53846153846154,0,0,1,0,0,0,0,1,3.0,2.0,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
42,44,1,6204,18,344.6666666666667,326.5263157894737,141.0,1,0,0,0,0,0,0,1,1.0,2.0,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True
43,24,2,6187,30,206.23333333333332,199.58064516129033,257.7916666666667,1,1,1,0,0,0,0,1,2.0,1.0,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True
44,58,1,6143,48,127.97916666666667,125.36734693877551,105.91379310344827,1,1,0,0,0,0,1,0,1.0,1.0,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True
45,35,3,1393,11,126.63636363636364,116.08333333333333,39.8,0,0,0,0,0,0,0,0,1.0,,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
46,39,2,2299,36,63.861111111111114,62.13513513513514,58.94871794871795,0,1,0,0,0,0,0,1,3.0,,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False
47,23,0,1352,6,225.33333333333334,193.14285714285714,58.78260869565217,0,0,1,0,0,0,0,0,3.0,1.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
48,39,1,7228,11,657.0909090909091,602.3333333333334,185.33333333333334,1,0,0,0,0,0,0,1,1.0,,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
49,28,2,2073,12,172.75,159.46153846153845,74.03571428571429,0,0,1,0,0,0,0,0,2.0,,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False
50,29,1,2333,24,97.20833333333333,93.32,80.44827586206897,0,0,1,0,0,0,0,1,,2.0,True,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False
51,30,3,5965,27,220.92592592592592,213.03571428571428,198.83333333333334,1,1,0,0,0,0,0,1,1.0,2.0,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
52,25,2,1262,12,105.16666666666667,97.07692307692308,50.48,0,0,1,0,0,0,0,1,1.0,,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
53,31,2,3378,18,187.66666666666666,177.78947368421052,108.96774193548387,0,0,0,0,0,0,0,1,,,True,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False
54,57,2,2225,36,61.80555555555556,60.13513513513514,39.03508771929825,0,1,0,0,0,0,1,1,1.0,2.0,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False
55,26,1,783,6,130.5,111.85714285714286,30.115384615384617,0,0,1,0,0,0,0,1,,,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
56,52,3,6468,12,539.0,497.53846153846155,124.38461538461539,1,0,0,0,0,0,1,1,,2.0,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
57,31,2,9566,36,265.72222222222223,258.5405405405405,308.5806451612903,1,1,0,0,0,0,0,0,1.0,,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True
58,23,3,1961,18,108.94444444444444,103.21052631578948,85.26086956521739,0,0,1,0,0,0,0,0,1.0,3.0,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
59,23,1,6229,36,173.02777777777777,168.35135135135135,270.82608695652175,1,1,1,0,0,0,1,0,1.0,1.0,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True
60,27,2,1391,9,154.55555555555554,139.1,51.51851851851852,0,0,1,0,0,0,0,1,1.0,2.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
61,50,2,1537,15,102.46666666666667,96.0625,30.74,0,0,0,0,0,0,0,1,,2.0,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False
62,61,3,1953,36,54.25,52.78378378378378,32.01639344262295,0,1,0,0,0,0,1,1,1.0,2.0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
63,25,2,14421,48,300.4375,294.3061224489796,576.84,1,1,1,0,0,0,1,1,1.0,2.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
64,26,2,3181,24,132.54166666666666,127.24,122.34615384615384,0,0,1,0,0,0,0,0,1.0,,True,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False
65,48,2,5190,27,192.22222222222223,185.35714285714286,108.125,1,1,0,0,0,0,0,1,,,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True
66,29,2,2171,12,180.91666666666666,167.0,74.86206896551724,0,0,1,0,0,0,0,0,1.0,,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False
67,22,2,1007,12,83.91666666666667,77.46153846153847,45.77272727272727,0,0,1,0,0,0,0,1,4.0,2.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
68,37,2,1819,36,50.52777777777778,49.16216216216216,49.16216216216216,0,1,0,0,0,0,1,1,1.0,,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
69,25,2,2394,36,66.5,64.70270270270271,95.76,0,1,1,0,0,0,0,0,,,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False
70,30,2,8133,36,225.91666666666666,219.8108108108108,271.1,1,1,0,0,0,0,0,0,1.0,,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
71,46,1,730,7,104.28571428571429,91.25,15.869565217391305,0,0,0,0,0,0,0,1,,,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False
72,51,3,1164,8,145.5,129.33333333333334,22.823529411764707,0,0,0,0,0,0,0,1,1.0,1.0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
