Feature,Importance
Checking_account_encoded,0.20544936791085672
monthly_payment,0.09839891591570951
credit_duration_ratio,0.09204942362329442
Credit amount,0.08992480603283161
age_credit_ratio,0.08659273230827615
Duration,0.08463118293950828
ID,0.07374879335385952
Age,0.0485997244614574
Saving_accounts_encoded,0.04716129541621817
Purpose_radio/TV,0.01786912642518535
Housing_own,0.015927234922968214
duration_category_long_term,0.014366472890068227
Sex_encoded,0.013976808618337487
young_applicant_flag,0.012159341312522698
long_duration_flag,0.011445483270295837
